;2049_04_Week_1;2049_04_Week_2;2049_04_Week_3;2049_04_Week_4; Grade
9140722;15;29;27;SENIOR MANAGER
9411773;11;38;26;CONSULTANT
9204561;36;41;22;MANAGER
9173563;19;20;17;SENIOR CONSULTANT
9245834;34;4;33;SENIOR MANAGER
9105008;6;35;28;STUDENT
9785148;3;18;5;SENIOR CONSULTANT
9746224;25;7;18;SENIOR CONSULTANT
9122482;14;14;25;MANAGER
9384346;1;0;14;PARTNER
9632861;15;9;20;CONSULTANT
9560225;40;3;34;CONSULTANT
9993751;9;6;18;SENIOR MANAGER
9793860;28;41;15;STUDENT
9772192;21;2;10;STUDENT
9604257;19;42;14;CONSULTANT
9522512;7;18;36;MANAGER
9171736;21;27;15;MANAGER
9741392;41;21;16;SENIOR STUDENT
9456969;39;38;35;SENIOR STUDENT
9986989;12;20;30;SENIOR CONSULTANT
9018683;20;19;14;SENIOR STUDENT
9602137;2;31;20;SENIOR CONSULTANT
9881504;0;9;38;SENIOR CONSULTANT
9260033;36;18;15;SENIOR MANAGER
9865513;28;18;41;SENIOR STUDENT
9203547;28;18;4;MANAGER
9901708;33;38;1;STUDENT
9125462;6;24;20;CONSULTANT
9234657;25;33;40;CONSULTANT
9847524;30;27;3;SENIOR CONSULTANT
9949913;21;12;23;MANAGER
9655126;23;13;11;STUDENT
9649118;13;37;35;SENIOR STUDENT
9745427;25;11;27;SENIOR CONSULTANT
9395352;3;4;33;SENIOR CONSULTANT
9557728;37;42;29;SENIOR STUDENT
9190941;33;30;0;PARTNER
9686696;0;33;30;STUDENT
9277244;3;16;28;SENIOR CONSULTANT
9396845;38;13;2;MANAGER
9681867;7;41;38;MANAGER
9418408;23;27;26;SENIOR CONSULTANT
9728138;29;37;17;MANAGER
9369571;19;9;29;STUDENT
9102856;18;32;18;MANAGER
9409484;17;12;0;SENIOR MANAGER
9823789;7;8;17;SENIOR STUDENT
9699677;22;18;27;MANAGER
9364721;0;34;16;MANAGER
9875954;24;25;9;MANAGER
9402709;31;32;25;MANAGER
9186467;36;7;25;CONSULTANT
9940029;27;36;1;STUDENT
9236639;24;3;26;SENIOR MANAGER
9010276;17;31;2;MANAGER
9902503;34;5;31;CONSULTANT
9719179;24;26;22;STUDENT
9737258;23;19;13;SENIOR MANAGER
9210599;24;11;21;STUDENT
9919589;26;7;18;MANAGER
9639919;2;25;11;STUDENT
9604177;15;1;10;SENIOR STUDENT
9541464;26;35;5;SENIOR CONSULTANT
9920396;41;9;39;SENIOR MANAGER
9877712;42;35;17;STUDENT
9215371;21;41;19;SENIOR MANAGER
9490217;18;3;1;CONSULTANT
9764342;33;35;13;SENIOR MANAGER
9767574;32;31;41;MANAGER
9875531;24;16;14;SENIOR MANAGER
9561955;29;7;27;SENIOR MANAGER
9725467;27;13;13;STUDENT
9008922;38;10;39;STUDENT
9148025;6;1;33;PARTNER
9621952;36;32;0;SENIOR STUDENT
9582627;26;11;16;SENIOR MANAGER
9244206;22;7;12;SENIOR STUDENT
9899391;10;17;7;SENIOR CONSULTANT
9221740;25;17;21;CONSULTANT
9278892;26;9;35;SENIOR MANAGER
9698601;31;0;42;CONSULTANT
9937800;11;24;37;STUDENT
9100470;1;34;41;SENIOR MANAGER
9344629;41;29;20;SENIOR STUDENT
9990791;28;40;10;MANAGER
9683903;23;42;8;CONSULTANT
